id,name,description,sku,ncmCode,category,imageUrl,currentStock,minStock,createdAt,updatedAt,averageCostBRL,salePriceBRL,supplierProductCode,lastSupplierId,status
bbb8a8daeb814d21a6befed8fc082a34,BRINCO TRIANGULAR,,BRIN-002,,BRINCO,https://forge.manus.ai/v1/storage/download/e4RXuSiZvzxx7G8Wx8VMcb,7,2,2025-10-21 18:11:58,2025-10-21 18:28:48,0,1500,,,active
bdeb8d73370a85bb2c67562303dbc99d,BRINCO DE PENA MATALICO PRETO,,BRIN-005,,BRINCO,https://forge.manus.ai/v1/storage/download/CriLwzUvwf9jMA8PvtEfZj,1,1,2025-10-21 18:32:48,2025-10-22 17:35:52,0,1200,,,active
be4370c3d35cfbbb8bb212238bcdda94,Colar Coração Chamas Preenchidas,https://www.alibaba.com/product-detail/Fashion-Heart-Necklace-Stainless-Steel-for_1600140586720.html?source_from=alilens_1761584973267,COL-037,7117199000,COLAR,https://forge.manus.ai/v1/storage/download/gKh9C3kmpoZGkDaSaCLejy/products/be4370c3d35cfbbb8bb212238bcdda94-1761585028997.jpeg,30,5,2025-10-27 17:10:28,2025-10-28 18:14:44,900,1400,,69a246167d4b1d3e78b5d56217672c4b,active
be7c2cd7e2ae89a78dc40b2fb4d7751f,PULSEIRA SPIKE MEDIO,,PUL-002,,PULSEIRA,https://forge.manus.ai/v1/storage/download/JyuJm9GPDUGLZdKRygqVk8,7,2,2025-10-22 12:53:39,2025-10-22 17:30:35,0,1800,,,active
be885ca68779c112fc422f9a4d9b4cf8,COLAR TRANÇADO MINIMALISTA,,COL-022,,COLAR,https://forge.manus.ai/v1/storage/download/2jm4DzmfEmHZv2mvKhjxHK,11,2,2025-10-22 13:05:32,2025-10-22 17:27:13,0,1300,,,active
bed387610b6e6975a0dca9301966659c,COLAR PRETO ANKA,,COL-028,,COLAR,https://forge.manus.ai/v1/storage/download/iJsHKfpTmWKFo4KRC6Edvf,6,4,2025-10-22 13:18:35,2025-10-22 17:23:44,0,1800,,,active
d0e3190d677d3270cd4c21f48f631906,COLAR GARRA DE DRAGÃO PEDRA NEGRA,https://www.alibaba.com/product-detail/Mexican-Fashion-Men-s-Jewelry-Stainless_60815953829.html,COL-013,,COLAR,https://forge.manus.ai/v1/storage/download/WvkDxs6VZgme8uSRAtjsTm,19,2,2025-10-22 12:29:23,2025-10-22 17:48:50,0,2300,,,active
d6747adf7d43a16e429b57ea33a57e49,BRINCO ROCK LOVE,,BRIN-001,,BRINCO,https://forge.manus.ai/v1/storage/download/LTEAYecPr3bXrm5FKjbAxB,37,10,2025-10-21 18:10:22,2025-10-22 13:20:44,0,1300,,,active
dd27b5893af0bc865e9360d81bd68c92,CORRENTE FINA MINIMALISTA,,COL-005,,COLAR,https://forge.manus.ai/v1/storage/download/M5adnYGPMChFMPoScQFWYw,9,2,2025-10-21 18:39:33,2025-10-22 17:34:37,0,1400,,,active
e5a18ca51322b496b7dfc03bdae6f2dd,COLAR MORCEGO PEDRA VERMELHA,,COL-031,,COLAR,https://forge.manus.ai/v1/storage/download/UfTp9N3vE6zs6E4omz6RtP,16,4,2025-10-22 13:16:13,2025-10-22 17:24:29,0,2000,,,active
e908669b1d9c10a2914c1d7b1a7782ea,COLAR CORAÇÃO DEMON PRETO,,COL-024,,COLAR,https://forge.manus.ai/v1/storage/download/6hwM66ifohUrG7UHE5zunw,9,2,2025-10-22 13:13:00,2025-10-22 17:25:19,0,1650,,,active
f114c73246d23e5f617e39ceb23a4821,COLAR SKULL LOVE,,COL-002,,COLAR,https://forge.manus.ai/v1/storage/download/9z2KVDoA7br9CnrbsR23uQ,30,10,2025-10-21 18:34:48,2025-10-22 17:35:24,0,1900,,,active
f2af8311d4ae92fe44210028db9a9c69,COLAR CORAÇÃO COM SPIKE PRETO,,BRIN-007,,BRINCO,https://forge.manus.ai/v1/storage/download/BfEzHKD2pwAFqVyLHhcLum,10,5,2025-10-22 13:27:07,2025-10-22 16:31:15,0,2000,,,active
f7a2062263a1e373641820614d4301e2,COLAR CORAÇÃO ROSE,,COL-001,,COLAR,https://forge.manus.ai/v1/storage/download/44jAmY2fkGAUnt7XEBBCeW,112,10,2025-10-21 18:34:03,2025-10-27 18:02:02,204,1800,,69a246167d4b1d3e78b5d56217672c4b,active
ff5bc676bbe88aed311fd1d24a61931e,COLAR LUA SANGRENTA CORVO DARK,,COL-023,,COLAR,https://forge.manus.ai/v1/storage/download/i6xGyQHWC2XprtYTcGhXJX,1,1,2025-10-22 13:12:17,2025-10-22 17:25:50,0,1900,,,active
